@relation 'mydata-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R39-weka.filters.unsupervised.attribute.NumericToNominal-R11-38-weka.filters.unsupervised.attribute.Remove-R2,12,14-15,21-23,26-28,30,33-34'

@attribute ratingCount numeric
@attribute year numeric
@attribute type {'',game,video.episode,video.movie,video.tv}
@attribute nrOfWins numeric
@attribute nrOfNominations numeric
@attribute nrOfPhotos numeric
@attribute nrOfNewsArticles numeric
@attribute nrOfUserReviews numeric
@attribute nrOfGenre numeric
@attribute Action {0,1}
@attribute Adventure {0,1}
@attribute Comedy {0,1}
@attribute Crime {0,1}
@attribute Documentary {0,1}
@attribute Drama {0,1}
@attribute Family {0,1}
@attribute History {0,1}
@attribute Horror {0,1}
@attribute News {0,1}
@attribute Romance {0,1}
@attribute SciFi {0,1}
@attribute TalkShow {0,1}
@attribute Thriller {0,1}
@attribute War {0,1}
@attribute Western {0,1}
@attribute imdbRating {'\'(-inf-2.5]\'','\'(2.5-5.0]\'','\'(5.0-7.5]\'','\'(7.5-inf)\''}

@data
386962,1971,video.movie,11,13,80,1076,1250,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,'\'(7.5-inf)\''
821410,1972,video.movie,29,19,148,1307,1751,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
127640,1973,video.movie,10,6,67,275,224,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
159935,1974,video.movie,20,22,73,547,412,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,'\'(7.5-inf)\''
541351,1974,video.movie,11,16,73,197,565,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
284563,1975,video.movie,0,0,48,260,613,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
74677,1975,video.movie,15,11,34,253,341,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
137696,1975,video.movie,13,17,35,438,228,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
290528,1975,video.movie,9,14,95,1497,880,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,'\'(7.5-inf)\''
492141,1975,video.movie,30,12,59,397,675,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
75434,1976,video.movie,22,19,49,366,295,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
243942,1976,video.movie,17,20,105,1161,479,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
351181,1976,video.movie,26,9,80,1830,768,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
